OID *,Site_ID *,Ftr_ID *,Ftr_Name,Last_Updt,Status,StatDetail,Year_From,Year_To,Ref_Detail,Ref_ID,Remarks
41,NV00121,Mo00582,"Clayton Valley-Zeus, Zeus deposit",2019-06-05,Exploration,Phase 1 exploration drilling completed 46 holes with an average hole depth of 14.3 meters,2016,2017,Page 18,Peek (2017b),<Null>
42,NV00121,Mo00582,"Clayton Valley-Zeus, Zeus deposit",2019-06-05,Evaluation,NI 43-101 compliant report,2017,2017,<Null>,Peek (2017),<Null>
43,NV00121,Mo00582,"Clayton Valley-Zeus, Zeus deposit",2019-06-05,Evaluation,NI 43-101 compliant report,2017,2017,<Null>,Peek (2017b),<Null>
44,NV00121,Mo00582,"Clayton Valley-Zeus, Zeus deposit",2019-06-05,Evaluation,NI 43-101 compliant report,2016,2016,<Null>,Peek (2016),<Null>
45,NV00121,Mo00582,"Clayton Valley-Zeus, Zeus deposit",2019-08-05,Exploration,Phase 2 exploration drilling completed 9 holes with an average hold depth of 82.2 meters,2018,2018,Pages 25-26,Peek and Barrie (2019),<Null>
46,NV00121,Mo00582,"Clayton Valley-Zeus, Zeus deposit",2019-06-05,Exploration,Surface sampling in three phases,2016,2017,Page 3,Peek and Barrie (2019),<Null>
47,NV00121,Mo00582,"Clayton Valley-Zeus, Zeus deposit",2019-06-05,Discovery,Staked claims in 2016 that was in close proximity to the producing Silver Peak mine,2016,2016,Page 12,Peek and Barrie (2019),<Null>
48,NV00121,Mo00582,"Clayton Valley-Zeus, Zeus deposit",2019-08-05,Exploration,"Phase 3 exploration drilling completed 16 holes for 467.9 meters of total drilling, with an average hole depth of 29.2 meters",2018,2018,Pages 26-27,Peek and Barrie (2019),<Null>
49,NV00122,Mo00584,"Clayton Valley South, Clayton Valley South deposit",2019-08-05,Discovery,"Lithium was initially discovered in the 1950's in the Clayton Valley, though the discovery of this site is considered 2009 by Rodinia",1950,1950,Page 32,Feyerabend (2014),<Null>
50,NV00122,Mo00584,"Clayton Valley South, Clayton Valley South deposit",2019-06-05,Evaluation,NI 43-101 compliant report,2018,2018,<Null>,Molnar and others (2018),<Null>
51,NV00122,Mo00584,"Clayton Valley South, Clayton Valley South deposit",2018-11-06,Evaluation,NI 43-101 compliant report,2014,2014,<Null>,Feyerabend (2014),<Null>
52,NV00122,Mo00584,"Clayton Valley South, Clayton Valley South deposit",2019-06-05,Evaluation,NI 43-101 compliant report,2017,2017,<Null>,Blois and others (2017),<Null>
53,NV00122,Mo00584,"Clayton Valley South, Clayton Valley South deposit",2019-06-05,Evaluation,NI 43-101 compliant report,2015,2015,<Null>,Spanjers (2015),<Null>
54,NV00122,Mo00584,"Clayton Valley South, Clayton Valley South deposit",2019-06-05,Exploration,"There has been three phases of exploration, (1) Rodinia 2009-2010, (2) PEM 2014-2015, (3) PEM 2015-2017",2009,2017,Page 9-1,Molnar and others (2018),<Null>
55,NV00127,Mo00585,"Rhyolite Ridge, South Basin deposit",2019-08-05,Exploration,Exploration drilling on the deposit from 2010-2017,2010,2017,"Pages 7, 16",Global Geoscience Ltd. (2017),<Null>
56,NV00127,Mo00585,"Rhyolite Ridge, South Basin deposit",2018-12-20,Evaluation,JORC compliant report,2016,2018,<Null>,Global Geoscience Ltd. (2017); Global Geoscience Ltd. (2018),<Null>
57,NV00127,Mo00587,"Rhyolite Ridge, North Basin occurrence",2018-11-06,Exploration,"Drilling of 57-holes totaling about 15,000m by US Borax in the 1980's",1980,1989,Page 16,Global Geoscience Ltd. (2017),<Null>
58,NV00143,Mo00572,"Clayton Valley-Cypress, Clayton Valley-Cypress deposit",2019-06-06,Discovery,Discovery of mineralization in tabular zones through exploration drilling,2015,2015,Page 9,Marvin (2018),<Null>
59,NV00143,Mo00572,"Clayton Valley-Cypress, Clayton Valley-Cypress deposit",2019-06-06,Evaluation,NI 43-101 compliant report,2018,2018,<Null>,Lane and others (2018c),<Null>
60,NV00143,Mo00572,"Clayton Valley-Cypress, Clayton Valley-Cypress deposit",2019-06-06,Exploration,"Exploration diamond drilling of 14 holes for 3,657 feet was completed by Cypress",2017,2017,Page 11,Marvin (2018),<Null>
61,NV00143,Mo00572,"Clayton Valley-Cypress, Clayton Valley-Cypress deposit",2019-06-06,Evaluation,NI 43-101 compliant report,2018,2018,<Null>,Lane and others (2018),<Null>
62,NV00143,Mo00572,"Clayton Valley-Cypress, Clayton Valley-Cypress deposit",2019-06-06,Evaluation,NI 43-101 compliant report,2018,2018,<Null>,Marvin (2018),<Null>
63,NV00143,Mo00572,"Clayton Valley-Cypress, Clayton Valley-Cypress deposit",2019-06-06,Exploration,"Exploration diamond drilling of 23 core holes for 1,905 meters was completed by Cypress",2017,2018,Page 45,Lane and others (2018),<Null>
64,NV00144,Mf00291,"Clayton Valley brine operation, Silver Peak mine",2018-11-06,Development,"In 1964, the Foote Mineral Company acquired the property to develop the brine as a primary source for lithium",1964,1964,Page 132,Davis and others (1986),<Null>
65,NV00144,Mf00291,"Clayton Valley brine operation, Silver Peak mine",2018-11-16,Active,Commenced production of Li2CO3 in 1967 and production is still ongoing,1967,<Null>,Page 132,Davis and others (1986),<Null>
66,NV00144,Mo00586,"Clayton Valley brine operation, Clayton Valley brine deposit",2018-11-16,Exploration,Foote Mineral Company drilling uncovered the deposits stratigraphy,1964,1978,Page 134,Davis and others (1986),<Null>
67,NV00144,Mo00586,"Clayton Valley brine operation, Clayton Valley brine deposit",2018-11-06,Discovery,"Discovered in the late 1950's, when the Leprechaun Mining Company was exploring for potassium brines; High concentrations of lithium in the subsurface brines of the playa was discovered",1950,1950,Page 132,Davis and others (1986),<Null>
68,NV00144,Mo00586,"Clayton Valley brine operation, Clayton Valley brine deposit",2018-11-06,Exploration,Wells drilled in the playa and adjacent alluvial slopes by Foote Mineral Company to determine the subsurface stratigraphy of the basin,1964,1978,Page 134,Davis and others (1986),<Null>
69,NV00148,Mo00640,"Bonnie Claire, Bonnie Claire deposit",2018-12-17,Evaluation,NI 43-101 compliant report,2018,2018,<Null>,Lane and others (2018b),<Null>
70,NV00148,Mo00640,"Bonnie Claire, Bonnie Claire deposit",2019-08-05,Exploration,"Exploration activities reported which included drilling, geologic mapping, surface sampling, and geophysical surveying",2015,2018,Page 32,Lane and others (2018b),<Null>
