OBJECTID *,Site_ID *,Ftr_ID *,Last_Updt,Descr_Type,Descr,Ref_ID,Remarks
12,NC00007,Mo00639,2018-12-14,Geology,"“Within the Project, spodumene pegmatites are hosted in a fine to medium grained, weakly to moderately foliated, biotite, hornblende, quartz feldspar gneiss or commonly referred to as amphibolite. The spodumene pegmatites range from fine grained (aplite) to very coarse-grained pegmatite with primary mineralogy consisting of spodumene, quartz, plagioclase, potassium-feldspar and muscovite.”",Piedmont Lithium Ltd. (2018),<Null>
13,NV00118,-1111,2019-06-06,Site,"“The Thacker Pass Project is located in Humboldt County in northern Nevada approximately 100 km north-northwest of Winnemucca, about 33 km west-northwest of Orovada, Nevada and 33 km due south of the Oregon border. The Thacker Pass Project is situated at the southern end of the McDermitt Caldera in T44N, R35E within Sections 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 15, 16, and 17. The project area is located on the United States Geological Survey (USGS) Thacker Pass 7.5-minute quadrangle at an approximate elevation of 1,500 m. The Thacker Pass Project area now encompasses approximately 3,367 ha.”",Ehsani and others (2018),<Null>
14,NV00118,Mo00574,2018-12-19,Geology,"“Intracaldera Sedimentary Deposits—A heterogeneous sequence of mostly poorly exposed, poorly lithified, predominantly tuffaceous sedimentary deposits accumulated in a lacustrine basin in the caldera following collapse. They are preserved, and possibly were deposited, in an irregular doughnut-shaped rim or moat around the margin of the caldera. Stratigraphic relations with dated rocks indicate the sediments were deposited over a relatively long time. Through most of the caldera, the sediments overlie intracaldera McDermitt Tuff. Well-bedded, planar to cross-laminated tuffaceous sandstone, siltstone, mudstone, tephra, and minor conglomerate and fossiliferous limestone overlie the coarse deposits. These finer deposits are sparsely exposed in a few canyons and in mine and exploration workings in the northern part of the caldera, where they are locally silicified by hydrothermal alteration, but poorly exposed to commonly covered by Quaternary fan deposits elsewhere, especially around Thacker Pass in the south.”",Henry and others (2017),The description relates to all deposits at this site even though the record is only related to the Thacker Pass deposit
15,NV00121,Mo00582,2018-09-12,Resources,"“The model generated for the Inferred Mineral Resource estimate indicates zones with higher lithium contents that remain open to the south, east and at depth. The drilling only tested approximately one third of the area covered by the Zeus claim block. Within the model that was generated from all 3 phases of drilling, involving 60 drill holes, the potential exists for a viable mining operation. The model herein reports an Inferred Mineral Resource of approximately 330 million metric tonnes at a grade of about 858 ppm Li, or 1,500,000 LCEs.”",Peek and Barrie (2019),<Null>
16,NV00121,Mo00582,2019-06-05,Site,"“The property is located in Esmeralda County, Nevada approximately halfway between Las Vegas and Reno. The property position consists of a total of 150 placer claims and 140 lode claims. Both sets of claims (placer and lode) cover approximately the same area which is approximately 3,000 acres (1,214 hectares) in size. The claims are staked on U. S. Government land administered by the U. S. Bureau of Land Management (BLM). Each claim covers an area of 20 acres (8.1 hectares). The claims are in one contiguous group. These claims are located in portions of Sections 1, 2, 10, 11, 12, 13, 14, 22, 23 and 24 of township T2S, R40E, Mt. Diablo Principal Meridian.”",Peek and Barrie (2019),<Null>
17,NV00122,-1111,2019-06-06,Site,"“The Clayton Valley Property is located in central Esmeralda County, Nevada. The nearest town is Silver Peak, which lies approximately 5 km (3 miles) to the northwest. The geographic coordinates at the approximate center of the property are 37° 41’ 00” N by 117° 36’ 30” W. The property consists of 1,085 lithium placer claims located in the southern half of Clayton Valley. The placer claims are comprised of blocks to the south and north of the Albemarle property. In their entirety, the claims controlled by PEM occupy approximately 106 km2 (10,600 ha or 26,300 acres). All 1,085 claims are located on unencumbered public land managed by the United States (U.S.) Bureau of Land Management (BLM).”",Molnar and others (2018),<Null>
18,NV00122,Mo00584,2019-06-06,Resources,"“The Resource Estimate totals 40,900 tonnes (45,085 tons) of elemental lithium. This can also be represented as 217,700 tonnes (240,000 tons) on an LCE basis or 247,300 tonnes (272,600 tons) as LiOH?H2O. The average lithium concentration is 123 mg/L based on the calculated lithium mass and the theoretical drainable volume of the host brine aquifer. A substantial part of the brine volume falls between concentrations of 65 mg/L and 221 mg/L lithium.”",Molnar and others (2018),<Null>
19,NV00122,Mo00584,2019-06-06,Geology,"“The lithium-rich brines pumped from beneath Clayton Valley, Nevada, provide about one-third of the present United States requirements for lithium. Although the pre-Tertiary rocks in the vicinity do not contain anomalous amounts of lithium, the Tertiary volcanics that abound in the area could have been the origin of the lithium. Extensive diagenetic alteration of vitric material has taken place, and high lithium concentrations are associated with smectite in the Miocene Esmeralda Formation exposed east of the playa. The brines contain about 20 percent sodium chloride and as much as about 320 parts per million of lithium. The deuterium contents of two samples of the brine are -97 and -113 per mil Vienna Standard Mean Ocean Water. The deuterium content of the brine is close to that of the recharge to the aquifers beneath the playa. Springs in the recharge area range from -106 to -114. The brine results from solution by ground water of halite beds that are high in lithium. These salt beds probably were formed during the desiccation of a small saline lake that occupied the position of the present playa.”",Davis and others (1986),<Null>
20,NV00127,Mo00585,2018-09-13,Geology,“There are two types of mineralization present: 1) lithium-boron mineralization that is low in clay content and low-moderate in carbonate content and 2) lithium-only mineralization that has higher clay content and moderate to high carbonate content. The lithium content of both types is similar however the lithium-boron mineralization averages over 1% boron making it potentially higher value material.”,Global Geoscience Ltd. (2017),<Null>
21,NV00143,-1111,2019-06-06,Site,"“The project is centered near 452800m East, 4178200m North, UTM NAD 83, Zone 11 North datum, in central Esmeralda County, Nevada. The location is 220 miles southeast of Reno, Nevada. The project lies entirely within T2S, R40E, Mt. Diablo Meridian. The project consists of 139 placer mining claims and 178 overlapping lode mining claims. The claims cover 4,780 acres and provide Cypress with the rights to lithium bearing brines and mudstones on the property. The claims lie within portions of surveyed sections 14, 15, 16, 17, 20, 21, 22, 23, 27, 28 and 33 of T2S, R40E in the central and eastern portions of the Clayton Valley, Nevada.”",Lane and others (2018c),<Null>
22,NV00143,Mo00572,2019-06-06,Resources,"“This resource estimation includes data from all 23 drill holes. At a cutoff of 300 ppm, the results of the estimation were 720.3 million kg Indicated lithium (831.0 million tonnes) and 963.0 million kg Inferred lithium (1,120.3 million tonnes). Within an initial pit area, at a cutoff of 300 ppm, there are 344.2 million kg Indicated lithium (365.3 million tonnes) and 159.2 million kg Inferred lithium (160.5 million tonnes). The initial pit area contains resources sufficient to supply a 15,000 tonne per day operation for more than 40 years.”",Lane and others (2018c),<Null>
23,NV00143,Mo00572,2019-06-06,Geology,"“The western portion of the project area is dominated by the uplifted basement rocks of Angel Island, while the southern and eastern portions are dominated by uplifted, lacustrine sedimentary units of the Esmeralda Formation. Within the project area, the Esmeralda Formation is comprised of fine grained sedimentary and tuffaceous units, with some occasionally pronounced local undulation and minor faulting. The resulting topography consists of elongate, rounded ridges of exposed Esmeralda Formation separated by washes and gullies filled with alluvial and colluvial gravels and fine sediment. Significant lithium concentrations are encountered in the sedimentary units of the Esmeralda within the project area at ground surface and to depths of up to 124 meters. The lithium bearing sediments primarily occur as calcareous and salty interbedded tuffaceous mudstones and claystones.”",Lane and others (2018c),<Null>
24,NV00144,Mf00291,2018-12-18,Production,"“Production wells currently tap six aquifer systems that yield brine to various evaporation ponds. Upgrading of brine salinity occurs over a 12 to 18 month period. Twenty active evaporation ponds make up 4,150 acres of surface area and hold up to several billion gallons of brine. Annual brine evaporation is 35 inches compared to freshwater evaporation of 56 inches with an average rainfall of 4 to 5 inches and a temperature range from 2 to 108?F. Currently, 50 wells are producing brine from all of the aquifers at rates from 30 to 325 gallons per minute (gpm). Depths of production wells vary from 230 feet to 1,160 feet with future plans to complete wells to 1,650 feet.”",Zampirro (2003),<Null>
25,NV00144,Mo00586,2018-11-16,Geology,"“The most lithium-enriched brines are in the downfaulted northeastern arm of the playa. Brine is produced primarily from the southeast-dipping air-fall tuff bed or ""ash aquifer."" Although some brine previously was produced from the permeable salt beds overlying the ash aquifer, the practice was abandoned due to dissolution of the salt and collapse around the wells. The highest lithium concentrations are found in brines produced from the tuff where it abuts the faults and forms a structural trap for the dense brines.”",Davis and others (1986),<Null>
26,NV00148,Mo00640,2019-04-18,Deposit Model,"""Bonnie Claire appears to be a new type of deposit that has lithium compounds like lithium carbonate and lithium salts deposited within the fine grain clay, silt, and pore space. Although most of the sediment hosted lithium in the literature occurs in clays, it does not at Bonnie Claire...the lithium must be occurring as carbonate or a chloride with no association to clay minerals.""",Lane and others (2018b),<Null>
27,UT00001,-1111,2019-08-05,Resources,"""The total metric tonnage of lithium in Great Salt Lake is 526,000, of which perhaps half is recoverable. Extraction of lithium from Great Salt Lake will be as a byproduct of magnesium-metal or salt recovery. Because lithium follows magnesium during processing of the brines, and because of the low lithium content of the brines, economic recovery of lithium from Great Salt Lake depends on a viable magnesium industry.""",Whelan and Petersen (1976),<Null>
